datetime_utc,temperature
19961125-18:00,14
19961125-19:00,14
19961125-20:00,14
19961125-21:00,12
19961125-23:00,12
19961126-00:00,13
19961126-01:00,12
19961126-02:00,16
19961126-03:00,17
19961126-04:00,
19961126-05:00,25
19961126-06:00,25
19961126-07:00,27
19961126-08:00,27
19961126-09:00,27
19961126-10:00,28
19961126-11:00,24
19961126-12:00,21
19961126-13:00,19
19961126-15:00,18
19961126-16:00,17
19961126-17:00,17
19961126-18:00,15
19961126-19:00,15
19961126-20:00,15
19961126-21:00,15
19961126-22:00,14
19961126-23:00,14
19961127-00:00,13
19961127-01:00,14
19961127-02:00,15
19961127-04:00,20
19961127-05:00,23
19961127-07:00,25
19961127-08:00,25
19961127-09:00,25
19961127-10:00,24
19961127-12:00,21
19961127-13:00,18
19961127-14:00,17
19961127-15:00,16
19961127-16:00,16
19961127-17:00,15
19961127-18:00,15
19961127-19:00,14
19961127-20:00,13
19961127-21:00,14
19961127-22:00,13
19961127-23:00,12
19961128-01:00,13
19961128-02:00,15
19961128-05:00,21
19961128-06:00,23
19961128-08:00,25
19961128-09:00,24
19961128-10:00,24
19961128-11:00,23
19961128-12:00,20
19961128-13:00,17
19961128-14:00,15
19961128-15:00,17
19961128-16:00,17
19961128-17:00,13
19961128-18:00,14
19961128-19:00,14
19961128-20:00,12
19961128-21:00,12
19961128-22:00,10
19961129-09:00,23
19961129-13:00,16
19961129-14:00,15
19961129-16:00,12
19961129-17:00,12
19961129-18:00,
19961129-19:00,10
19961129-20:00,10
19961129-21:00,10
19961129-23:00,9
19961130-00:00,9
19961130-01:00,9
19961130-02:00,10
19961130-03:00,12
19961130-04:00,15
19961130-05:00,19
19961130-06:00,21
19961130-07:00,21
19961130-08:00,22
19961130-09:00,22
19961130-10:00,22
19961130-13:00,16
19961130-14:00,14
19961130-15:00,14
19961130-16:00,13
19961130-17:00,12
19961130-18:00,11
19961130-19:00,11
19961130-20:00,11
19961130-21:00,10
19961130-22:00,9
19961130-23:00,10
19961201-00:00,9
19961201-01:00,10
19961201-02:00,11
19961201-03:00,12
19961201-04:00,15
19961201-05:00,18
19961201-06:00,20
19961201-07:00,21
19961201-10:00,22
19961201-11:00,21
19961201-12:00,18
19961201-13:00,15
19961201-14:00,14
19961201-15:00,13
19961201-16:00,13
19961201-17:00,11
19961201-18:00,13
19961201-19:00,11
19961201-20:00,11
19961201-21:00,11
19961201-22:00,9
19961201-23:00,9
19961202-01:00,9
19961202-04:00,14
19961202-05:00,17
19961202-06:00,19
19961202-07:00,21
19961202-08:00,22
19961202-09:00,23
19961202-10:00,23
19961202-11:00,21
19961202-12:00,17
19961202-13:00,16
19961202-14:00,15
19961202-15:00,13
19961202-16:00,14
19961202-17:00,13
19961202-18:00,12
19961202-19:00,12
19961202-20:00,10
19961202-21:00,11
19961202-22:00,9
19961202-23:00,10
19961203-01:00,9
19961203-03:00,15
19961203-04:00,15
19961203-05:00,19
19961203-06:00,21
19961203-08:00,22
19961203-09:00,23
19961203-10:00,22
19961203-11:00,20
19961203-12:00,18
19961203-13:00,16
19961203-14:00,16
19961203-15:00,15
19961203-16:00,14
19961203-17:00,14
19961203-18:00,13
19961203-19:00,12
19961203-20:00,12
19961203-21:00,11
19961204-00:00,11
19961204-01:00,13
19961204-02:00,14
19961204-03:00,14
19961204-04:00,15
19961204-05:00,18
19961204-06:00,21
19961204-07:00,22
19961204-08:00,23
19961204-09:00,24
19961204-10:00,24
19961204-11:00,23
19961204-13:00,16
19961204-14:00,15
19961204-15:00,15
19961204-16:00,14
19961204-17:00,14
19961204-18:00,13
19961204-19:00,12
19961204-21:00,10
19961204-22:00,10
19961205-03:00,13
19961205-04:00,15
19961205-05:00,16
19961205-06:00,19
19961205-07:00,19
19961205-08:00,21
19961205-09:00,21
19961205-10:00,21
19961205-11:00,20
19961205-12:00,19
19961205-13:00,16
19961205-15:00,14
19961205-17:00,14
19961205-18:00,14
19961205-19:00,13
19961205-20:00,14
19961205-21:00,13
19961205-22:00,10
19961205-23:00,10
19961206-00:00,10
19961206-01:00,10
19961206-02:00,11
19961206-03:00,12
19961206-04:00,15
19961206-05:00,17
19961206-06:00,20
19961206-07:00,21
19961206-09:00,22
19961206-10:00,22
19961206-11:00,21
19961206-12:00,18
19961206-13:00,16
19961206-14:00,15
19961206-15:00,13
19961206-16:00,14
19961206-17:00,12
19961206-18:00,12
19961206-19:00,12
19961206-20:00,11
19961206-21:00,9
19961206-22:00,8
19961206-23:00,8
19961207-00:00,8
19961207-01:00,7
19961207-03:00,10
19961207-04:00,14
19961207-05:00,16
19961207-06:00,18
19961207-07:00,20
19961207-08:00,20
19961207-09:00,21
19961207-11:00,19
19961207-12:00,15
19961207-13:00,14
19961207-14:00,12
19961207-15:00,12
19961207-16:00,10
19961207-17:00,9
19961207-18:00,9
19961207-19:00,8
19961207-20:00,8
19961207-21:00,7
19961207-22:00,7
19961207-23:00,6
19961208-00:00,5
19961208-01:00,5
19961208-02:00,6
19961208-03:00,8
19961208-04:00,12
19961208-05:00,15
19961208-06:00,17
19961208-07:00,19
19961208-08:00,19
19961208-09:00,19
19961208-10:00,19
19961208-11:00,17
19961208-12:00,16
19961208-13:00,12
19961208-14:00,11
19961208-15:00,10
19961208-16:00,9
19961208-18:00,7
19961208-19:00,7
19961208-20:00,7
19961208-21:00,5
19961208-22:00,5
19961208-23:00,5
19961209-00:00,5
19961209-01:00,4
19961209-02:00,6
19961209-03:00,9
19961209-04:00,13
19961209-05:00,16
19961209-06:00,18
19961209-07:00,18
19961209-08:00,19
19961209-09:00,20
19961209-10:00,19
19961209-11:00,18
19961209-12:00,15
19961209-15:00,10
19961209-16:00,9
19961209-17:00,9
19961209-18:00,7
19961209-19:00,8
19961209-20:00,7
19961209-21:00,7
19961209-22:00,6
19961209-23:00,5
19961210-00:00,4
19961210-01:00,4
19961210-02:00,5
19961210-03:00,7
19961210-04:00,12
19961210-05:00,14
19961210-06:00,17
19961210-07:00,19
19961210-08:00,20
19961210-09:00,
19961210-10:00,21
19961210-11:00,18
19961210-12:00,17
19961210-13:00,13
19961210-14:00,12
19961210-15:00,10
19961210-16:00,9
19961210-17:00,
19961210-18:00,8
19961210-19:00,8
19961210-20:00,8
19961210-21:00,6
19961210-22:00,6
19961210-23:00,5
19961211-00:00,5
19961211-01:00,5
19961211-02:00,6
19961211-07:00,
19961211-08:00,20
19961211-09:00,21
19961211-10:00,21
19961211-12:00,16
19961211-13:00,13
